tourney_id,tourney_name,tourney_location,surface,draw_size,tourney_level,tourney_date,latitude,longitude
1999-301,Auckland,Auckland,Hard,32,A,19990111,-36.852095,174.76318
2003-301,Auckland,Auckland,Hard,32,A,20030106,-36.852095,174.76318
2002-301,Auckland,Auckland,Hard,32,A,20020107,-36.852095,174.76318
1968-580,Australian Chps.,Melbourne,Grass,64,G,19680119,-37.814218,144.963161
1998-580,Australian Open,Melbourne,Hard,128,G,19980119,-37.814218,144.963161
1985-580,Australian Open,Melbourne,Grass,96,G,19851125,-37.814218,144.963161
2002-580,Australian Open,Melbourne,Hard,128,G,20020114,-37.814218,144.963161
2005-580,Australian Open,Melbourne,Hard,128,G,20050117,-37.814218,144.963161
2017-580,Australian Open,Melbourne,Hard,128,G,20170116,-37.814218,144.963161
2014-580,Australian Open,Melbourne,Hard,128,G,20140113,-37.814218,144.963161
1999-580,Australian Open,Melbourne,Hard,128,G,19990118,-37.814218,144.963161
2003-580,Australian Open,Melbourne,Hard,128,G,20030113,-37.814218,144.963161
2016-580,Australian Open,Melbourne,Hard,128,G,20160118,-37.814218,144.963161
1970-580,Australian Open,Melbourne,Grass,64,G,19700119,-37.814218,144.963161
2008-580,Australian Open,Melbourne,Hard,128,G,20080114,-37.814218,144.963161
1980-580,Australian Open,Melbourne,Grass,64,G,19801226,-37.814218,144.963161
2012-580,Australian Open,Melbourne,Hard,128,G,20120116,-37.814218,144.963161
1990-580,Australian Open,Melbourne,Hard,128,G,19900115,-37.814218,144.963161
2018-580,Australian Open,Melbourne,Hard,128,G,20180115,-37.814218,144.963161
1987-580,Australian Open,Melbourne,Grass,96,G,19870112,-37.814218,144.963161
1979-580,Australian Open,Melbourne,Grass,64,G,19791224,-37.814218,144.963161
2013-580,Australian Open,Melbourne,Hard,128,G,20130114,-37.814218,144.963161
1989-580,Australian Open,Melbourne,Hard,128,G,19890116,-37.814218,144.963161
1978-580,Australian Open,Melbourne,Grass,64,G,19781226,-37.814218,144.963161
1977-580,Australian Open,Melbourne,Grass,64,G,19770101,-37.814218,144.963161
1988-580,Australian Open,Melbourne,Hard,128,G,19880111,-37.814218,144.963161
2021-580,Australian Open,Melbourne,Hard,128,G,20210208,-37.814218,144.963161
1997-580,Australian Open,Melbourne,Hard,128,G,19970113,-37.814218,144.963161
1995-580,Australian Open,Melbourne,Hard,128,G,19950116,-37.814218,144.963161
2007-580,Australian Open,Melbourne,Hard,128,G,20070115,-37.814218,144.963161
2001-580,Australian Open,Melbourne,Hard,128,G,20010115,-37.814218,144.963161
1991-580,Australian Open,Melbourne,Hard,128,G,19910114,-37.814218,144.963161
1984-580,Australian Open,Melbourne,Grass,96,G,19841126,-37.814218,144.963161
2006-580,Australian Open,Melbourne,Hard,128,G,20060116,-37.814218,144.963161
2022-580,Australian Open,Melbourne,Hard,128,G,20220117,-37.814218,144.963161
1992-580,Australian Open,Melbourne,Hard,128,G,19920113,-37.814218,144.963161
1972-580,Australian Open,Melbourne,Grass,64,G,19711226,-37.814218,144.963161
1981-580,Australian Open,Melbourne,Grass,64,G,19811224,-37.814218,144.963161
2000-580,Australian Open,Melbourne,Hard,128,G,20000117,-37.814218,144.963161
1974-580,Australian Open,Melbourne,Grass,64,G,19731226,-37.814218,144.963161
2010-580,Australian Open,Melbourne,Hard,128,G,20100118,-37.814218,144.963161
2020-580,Australian Open,Melbourne,Hard,128,G,20200120,-37.814218,144.963161
2004-580,Australian Open,Melbourne,Hard,128,G,20040119,-37.814218,144.963161
1982-580,Australian Open,Melbourne,Grass,96,G,19821202,-37.814218,144.963161
1973-580,Australian Open,Melbourne,Grass,64,G,19721226,-37.814218,144.963161
2011-580,Australian Open,Melbourne,Hard,128,G,20110117,-37.814218,144.963161
1994-580,Australian Open,Melbourne,Hard,128,G,19940117,-37.814218,144.963161
1983-580,Australian Open,Melbourne,Grass,96,G,19831129,-37.814218,144.963161
1993-580,Australian Open,Melbourne,Hard,128,G,19930118,-37.814218,144.963161
2015-580,Australian Open,Melbourne,Hard,128,G,20150119,-37.814218,144.963161
1971-580,Australian Open,Melbourne,Grass,64,G,19710307,-37.814218,144.963161
2019-580,Australian Open,Melbourne,Hard,128,G,20190114,-37.814218,144.963161
1976-580,Australian Open,Melbourne,Grass,64,G,19751226,-37.814218,144.963161
2009-580,Australian Open,Melbourne,Hard,128,G,20090119,-37.814218,144.963161
1975-580,Australian Open,Melbourne,Grass,32,G,19741221,-37.814218,144.963161
1969-580,Australian Open,Melbourne,Grass,64,G,19690120,-37.814218,144.963161
1996-580,Australian Open,Melbourne,Hard,128,G,19960115,-37.814218,144.963161
1977-581,Australian Open-2,Melbourne,Grass,64,G,19771219,-37.814218,144.963161
1970-9290,Australian Round Robin,Brisbane,Grass,5,A,19700104,-27.468968,153.023499
