player_id;name_first;name_last;hand;dob;ioc;ioc_nation;height;wikidata_id
139472;;;U;;SLO;Slovenia;;
139473;Filip;Forro;R;19840509;SVK;Slovakia;;
139474;Costin;Corneanu;U;19800904;GER;Germany;;
139475;Bernardo;Bernardinelli;U;19830722;ITA;Italy;;
139476;Martin;Gattringer;U;19820916;AUT;Austria;;
139477;Veit;Eberl;U;19810401;GER;Germany;;
139478;Matko;Butkovic;U;19821209;CRO;Croatia;;
139479;Henri;Meyer;U;19800723;GER;Germany;;
139480;Mirko;Merli;U;19790304;ITA;Italy;;
139481;Cristiano;Franzato;U;19690408;ITA;Italy;;
139482;;;U;;SLO;Slovenia;;
139483;Daniel;Majtan;U;19781024;SVK;Slovakia;;
139484;Jurica;Pivcevic;U;19820205;CRO;Croatia;;
139485;Alberto;Vignati;U;19820913;ITA;Italy;;
139486;Manuel;Miletic;U;19820405;CRO;Croatia;;
139487;Djordjo;Galasso;U;19801104;CRO;Croatia;;
139488;Zdenko;Grzinic;U;19501213;CRO;Croatia;;
139489;David;Dompe;U;19820822;ITA;Italy;;
139490;Andrea;Gabrieli;R;19841206;ITA;Italy;;
139491;Sandro;Udovic;U;19781112;CRO;Croatia;;
139492;Federico;Funari;U;19810811;ITA;Italy;;
139493;Thomas;Green;U;19840115;AUS;Australia;;
139494;Pete;Raad;U;19800818;AUS;Australia;;
139495;Alex;Long;U;;AUS;Australia;;
139496;Kelvin;Schafer;U;;AUS;Australia;;
139497;Jeffrey;Speer;U;19781224;AUS;Australia;;
139498;Alessandro;Bellino;U;19840910;AUS;Australia;;
139499;Adam;Johnson;U;19810729;AUS;Australia;;
139500;Anthony;White;U;19770326;AUS;Australia;;
139501;Reece;Paulger;R;19820405;AUS;Australia;;
139502;Peter;Morris;U;19810901;AUS;Australia;;
139503;Tan Jiunn;Chung;U;19850207;MAS;Malaysia;;
139504;Joel Andrea;Scalzi;U;19820716;AUS;Australia;;
139505;Yang Soo;Kim;U;19830704;KOR;South Korea;;
139506;Kenichi;Kato;U;19770809;JPN;Japan;;
139507;Lukas;Vasicek;U;19800514;CZE;Czechia;;
139508;Ryan;Mulvahil;U;19810523;AUS;Australia;;
139509;Joel;Carusco;U;;AUS;Australia;;
139510;Adam;Clearihan;U;19810529;AUS;Australia;;
139511;Jason;Murphy;U;;AUS;Australia;;
139512;Chris;Mccoy;U;19820731;AUS;Australia;;
139513;Andy;Leichtle;U;19751114;GER;Germany;;
139514;Masaki;Itoi;U;19790602;JPN;Japan;;
139515;Edward;Tjahyo;U;19800715;INA;Indonesia;;
139516;Tae;Kim;U;19821204;KOR;South Korea;;
139517;Michael;Stock;U;;AUS;Australia;;
139518;Stanley;Tummon;U;19760414;AUS;Australia;;
139519;Domenico;Bellino;R;19820801;AUS;Australia;;
139520;Giuseppe;Caruso;U;19770319;AUS;Australia;;
139521;Kelvin;Butler;U;;AUS;Australia;;
139522;Glenn;Moodie;U;19740301;AUS;Australia;;
139523;Leigh;Hurley;U;19820716;AUS;Australia;;
139524;Martyn;Harris;U;19790711;AUS;Australia;;
139525;Matthew;Fritzsche;U;19840802;AUS;Australia;;
139526;Robert;Blum;U;19800702;AUS;Australia;;
139527;Daniel;Dobranov;U;19810713;AUS;Australia;;
139528;Joshua;Smith;U;19820224;AUS;Australia;;
139529;Juan Pablo;Vidour;U;19820810;ARG;Argentina;;
139530;Fabio;Lekach;U;19810907;ARG;Argentina;;
139531;Roman;Ramirez;U;19810810;ARG;Argentina;;
139532;Walter;Rodriguez;U;19811118;ARG;Argentina;;
139533;Fernando;Aguero;U;19770109;ARG;Argentina;;
139534;Nicolas;Paladini;U;19780227;ARG;Argentina;;
139535;Hernan;Noya;U;19770530;ARG;Argentina;;
139536;Masaaki;Sato;U;19730821;JPN;Japan;;
139537;Daisuke;Ikeda;U;19810818;JPN;Japan;;
139538;Takao;Kasai;U;19550528;JPN;Japan;;
139539;Minoru;Tashiro;U;19600901;JPN;Japan;;
139540;Masaki;Inoue;U;19730222;JPN;Japan;;
139541;Hiroaki;Ishihara;U;19760518;JPN;Japan;;
139542;Jun;Mochizuki;U;19680314;JPN;Japan;;
139543;Katsuya;Tozawa;U;19710106;JPN;Japan;;
139544;Yohei;Hara;U;19771010;JPN;Japan;;
139545;Kazuhiko;Kenjo;U;19790719;JPN;Japan;;
139546;Takayuki;Konno;U;19680316;JPN;Japan;;
139547;Ryo;Miyoshi;U;19810519;JPN;Japan;;
139548;Takeyoshi;Kamada;U;19571003;JPN;Japan;;
139549;Shiomi;Fukasawa;U;19601109;JPN;Japan;;
